ID,Name,IDParent
33121,Vehicles,33120.0
33122,"Cars,SUVs, Pickups & Vans",33121.0
33123,Acura,33122.0
33124,CL,33123.0
33125,RSX,33123.0
33126,Alfa Romeo,33122.0
33127,33,33126.0
33128,75,33126.0
33129,145,33126.0
33130,146,33126.0
33131,147,33126.0
33132,155,33126.0
33133,156,33126.0
33134,159,33126.0
33135,164,33126.0
33136,166,33126.0
33137,Brera,33126.0
33138,Giulietta,33126.0
33139,GT,33126.0
33140,GTV,33126.0
33141,MiTo,33126.0
33142,Spider,33126.0
33143,Sprint,33126.0
33144,Anadol,33122.0
33145,A,33144.0
33146,Beetle,33144.0
33147,SV,33144.0
33148,Aston Martin,33122.0
33149,DB7,33148.0
33150,DB9,33148.0
33151,DBS,33148.0
33152,Rapide,33148.0
33153,Vanquish,33148.0
33154,Vantage,33148.0
33155,Audi,33122.0
33156,A1,33155.0
33157,A2,33155.0
33158,A3,33155.0
33159,A4,33155.0
33160,A5,33155.0
33161,A6,33155.0
33162,A7,33155.0
33163,A8,33155.0
33164,Allroad,33155.0
33165,R8,33155.0
33166,RS,33155.0
33167,S Series,33155.0
33168,TT,33155.0
33169,100 Series,33155.0
33170,200 Series,33155.0
33171,80 Series,33155.0
33172,90 Series,33155.0
33173,Bentley,33122.0
33174,Brooklands,33173.0
33175,Continental,33173.0
33176,Mulsanne,33173.0
33177,BMW,33122.0
33178,1 Series,33177.0
33179,3 Series,33177.0
33180,5 Series,33177.0
33181,6 Series,33177.0
33182,7 Series,33177.0
33183,8 Series,33177.0
33184,M Series,33177.0
33185,Z Series,33177.0
33186,Bugatti,33122.0
33187,Veyron,33186.0
33188,Buick,33122.0
33189,Century,33188.0
33190,Electra,33188.0
33191,Park Avenue,33188.0
33192,Regal,33188.0
33193,Riviera,33188.0
33194,Roadmaster,33188.0
33195,Skylark,33188.0
33196,Cadillac,33122.0
33197,BLS,33196.0
33198,Brougham,33196.0
33199,CTS,33196.0
33200,DeVille,33196.0
33201,Eldorado,33196.0
33202,Fleetwood,33196.0
33203,Seville,33196.0
33204,STS,33196.0
33205,XLR,33196.0
33206,Chery,33122.0
33207,Alia,33206.0
33208,Chance,33206.0
33209,Kimo,33206.0
33210,Niche,33206.0
33211,Chevrolet,33122.0
33212,Aveo,33211.0
33213,Camaro,33211.0
33214,Caprice,33211.0
33215,Cavalier,33211.0
33216,Celebrity,33211.0
33217,Chevette,33211.0
33218,Corsica,33211.0
33219,Corvette,33211.0
33220,Cruze,33211.0
33221,Epica,33211.0
33222,Evanda,33211.0
33223,Geo Storm,33211.0
33224,HHR,33211.0
33225,Impala,33211.0
33226,Kalos,33211.0
33227,Lacetti,33211.0
33228,Lumina,33211.0
33229,Malibu,33211.0
33230,Monte Carlo,33211.0
33231,Rezzo,33211.0
33232,Spark,33211.0
33233,Chrysler,33122.0
33234,300 C,33233.0
33235,300 M,33233.0
33236,Concorde,33233.0
33237,Crossfire,33233.0
33238,Fifth Avenue,33233.0
33239,LHS,33233.0
33240,Neon,33233.0
33241,PT Cruiser,33233.0
33242,Sebring,33233.0
33243,Stratus,33233.0
33244,Citroen,33122.0
33245,AX,33244.0
33246,BX,33244.0
33247,C1,33244.0
33248,C2,33244.0
33249,C3,33244.0
33250,C3 Picasso,33244.0
33251,C4,33244.0
33252,C4 Picasso,33244.0
33253,C5,33244.0
33254,C6,33244.0
33255,C8,33244.0
33256,CX,33244.0
33257,DS3,33244.0
33258,DS4,33244.0
33259,Evasion,33244.0
33260,Saxo,33244.0
33261,Xantia,33244.0
33262,XM,33244.0
33263,Xsara,33244.0
33264,Mehari,33244.0
33265,Dacia,33122.0
33266,1310,33265.0
33267,Logan,33265.0
33268,Sandero,33265.0
33269,Solenza,33265.0
33270,Nova,33265.0
33271,Daewoo,33122.0
33272,Cielo,33271.0
33273,Espero,33271.0
33274,Lanos,33271.0
33275,Leganza,33271.0
33276,Matiz,33271.0
33277,Nexia,33271.0
33278,Nubira,33271.0
33279,Racer,33271.0
33280,Super Saloon,33271.0
33281,Tico,33271.0
33282,Daihatsu,33122.0
33283,Applause,33282.0
33284,Charade,33282.0
33285,Copen,33282.0
33286,Cuore,33282.0
33287,Materia,33282.0
33288,Move,33282.0
33289,Sirion,33282.0
33290,YRV,33282.0
33291,Dodge,33122.0
33292,Avenger,33291.0
33293,Challenger,33291.0
33294,Charger,33291.0
33295,Grand Caravan,33291.0
33296,Journey,33291.0
33297,Magnum,33291.0
33298,Spirit,33291.0
33299,Viper,33291.0
33300,Eagle,33122.0
33301,Talon,33300.0
33302,Ferrari,33122.0
33303,355,33302.0
33304,360,33302.0
33305,430,33302.0
33306,456,33302.0
33307,458,33302.0
33308,550,33302.0
33309,599,33302.0
33310,612,33302.0
33311,California,33302.0
33312,FF,33302.0
33313,F Series,33302.0
33314,Fiat,33122.0
33315,124 Coup̩,33314.0
33316,126 Bis,33314.0
33317,500,33314.0
33318,Albea,33314.0
33319,Brava,33314.0
33320,Bravo,33314.0
33321,Coupe,33314.0
33322,Croma,33314.0
33323,Idea,33314.0
33324,Linea,33314.0
33325,Marea,33314.0
33326,Mirafiori,33314.0
33327,Palio,33314.0
33328,Panda,33314.0
33329,Punto,33314.0
33330,Sedici,33314.0
33331,Siena,33314.0
33332,Stilo,33314.0
33333,Tempra,33314.0
33334,Tipo,33314.0
33335,Ulysse,33314.0
33336,Uno,33314.0
33337,Ford,33122.0
33338,Ka,33337.0
33339,Fiesta,33337.0
33340,Fusion,33337.0
33341,Focus,33337.0
33342,C-Max,33337.0
33343,Grand C-Max,33337.0
33344,Mondeo,33337.0
33345,S Max,33337.0
33346,Mustang,33337.0
33347,Capri,33337.0
33348,Escort,33337.0
33349,Festiva,33337.0
33350,Galaxy,33337.0
33351,Granada,33337.0
33352,Orion,33337.0
33353,Probe,33337.0
33354,Scorpio,33337.0
33355,Sierra,33337.0
33356,Taunus,33337.0
33357,Taurus,33337.0
33358,Tempo,33337.0
33359,Thunderbird,33337.0
33360,Geely,33122.0
33361,Echo,33360.0
33362,Emgrand,33360.0
33363,Familia,33360.0
33364,FC,33360.0
33365,Hennessey,33122.0
33366,Venom GT,33365.0
33367,Honda,33122.0
33368,Accord,33367.0
33369,City,33367.0
33370,Civic,33367.0
33371,CRX,33367.0
33372,CR-Z,33367.0
33373,Integra,33367.0
33374,Jazz,33367.0
33375,Legend,33367.0
33376,Prelude,33367.0
33377,s2000,33367.0
33378,Shuttle,33367.0
33379,Stream,33367.0
33380,Hyundai,33122.0
33381,Atos,33380.0
33382,i10,33380.0
33383,i20,33380.0
33384,i20 Troy,33380.0
33385,ix35,33380.0
33386,i30,33380.0
33387,ix55,33380.0
33388,Accent,33380.0
33389,Azera,33380.0
33390,Accent,33380.0
33391,Avante,33380.0
33392,Elantra,33380.0
33393,Sonata,33380.0
33394,Genesis,33380.0
33395,Coupe,33380.0
33396,Excel,33380.0
33397,Grandeur,33380.0
33398,S-Coupe,33380.0
33399,Stellar,33380.0
33400,Trajet,33380.0
33401,Ikco,33122.0
33402,Samand,33401.0
33403,Infiniti,33122.0
33404,G,33403.0
33405,I30,33403.0
33406,M,33403.0
33407,Q30,33403.0
33408,Isuzu,33122.0
33409,Aska,33408.0
33410,Gemini,33408.0
33411,Jaguar,33122.0
33412,Daimler,33411.0
33413,Sovereign,33411.0
33414,S Type,33411.0
33415,XF,33411.0
33416,XJ,33411.0
33417,XJR,33411.0
33418,XJS,33411.0
33419,XK8,33411.0
33420,XKR,33411.0
33421,X Type,33411.0
33422,Kia,33122.0
33423,Optima,33422.0
33424,Rio,33422.0
33425,Cerato,33422.0
